repo,path
neo4jrb/activegraph,code_of_conduct.md
mime-types/ruby-mime-types,Code-of-Conduct.md
maca/scruby,CODE_OF_CONDUCT.md
beanstalkd/beanstalkd,CodeOfConduct.txt
CarlosGabaldon/reggie,CODE_OF_CONDUCT.md
spree/spree,CODE_OF_CONDUCT.md
sparklemotion/nokogiri,CODE_OF_CONDUCT.md
git/git,CODE_OF_CONDUCT.md
holidays/holidays,CODE_OF_CONDUCT.md
nanoc/nanoc,CODE_OF_CONDUCT.md
gaphor/gaphas,CODE_OF_CONDUCT.md
angular/angular.js,CODE_OF_CONDUCT.md
ReactionMechanismGenerator/RMG-Py,CODE_OF_CONDUCT.md
ccnmtl/mediathread,CODE_OF_CONDUCT.md
VsVim/VsVim,CODE_OF_CONDUCT.md
gaphor/gaphor,CODE_OF_CONDUCT.md
pouchdb/pouchdb,CODE_OF_CONDUCT.md
SBJson/SBJson,CODE_OF_CONDUCT.md
tendenci/tendenci,CODE_OF_CONDUCT.md
http-party/node-http-proxy,CODE_OF_CONDUCT.md
HHRy/prawn-graph,CODE_OF_CONDUCT.md
GeoNode/geonode,CODE_OF_CONDUCT.md
alastairhm/pyBrick,CODE_OF_CONDUCT.md
tweenjs/tween.js,CODE_OF_CONDUCT.md
rust-lang/rust,CODE_OF_CONDUCT.md
fabricjs/fabric.js,CODE_OF_CONDUCT.md
apache/jmeter,CODE_OF_CONDUCT.md
gaphor/generic,CODE_OF_CONDUCT.md
Graylog2/graylog2-server,CODE_OF_CONDUCT.md
aws/aws-sdk-java,CODE_OF_CONDUCT.md
janlelis/clipboard,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-java-client,CODE_OF_CONDUCT.md
petergoldstein/dalli,code_of_conduct.md
Falkor/dotfiles,CODE_OF_CONDUCT.md
janlelis/sugar_refinery,CODE_OF_CONDUCT.md
rails-sqlserver/tiny_tds,CODE_OF_CONDUCT.md
scikit-learn/scikit-learn,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-toke,CODE_OF_CONDUCT.md
NodeRedis/node-redis,CODE_OF_CONDUCT.md
jmeter-maven-plugin/jmeter-maven-plugin,CODE_OF_CONDUCT.md
etorreborre/specs2,CODE_OF_CONDUCT.md
getsentry/sentry,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-server,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-stomp,CODE_OF_CONDUCT.md
sass/sass,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-management,CODE_OF_CONDUCT.md
Blosc/bcolz,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-codegen,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-erlang-client,CODE_OF_CONDUCT.md
serialport/node-serialport,CODE_OF_CONDUCT.md
dannnylo/rtesseract,CODE_OF_CONDUCT.md
sauce-archives/sauce_ruby,code_of_conduct.markdown
rabbitmq/rabbitmq-public-umbrella,CODE_OF_CONDUCT.md
presidentbeef/brakeman,CODE_OF_CONDUCT.md
Blosc/python-blosc,code_of_conduct.md
voormedia/rails-erd,CODE_OF_CONDUCT.md
illumos/illumos-gate,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-shovel,CODE_OF_CONDUCT.md
janlelis/irbtools,CODE_OF_CONDUCT.md
psychopy/psychopy,code-of-conduct.md
rabbitmq/rabbitmq-dotnet-client,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-management-agent,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-auth-backend-ldap,CODE_OF_CONDUCT.md
janlelis/fancy_irb,CODE_OF_CONDUCT.md
moumar/ruby-audioinfo,CODE_OF_CONDUCT.md
aws/aws-toolkit-eclipse,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-amqp1.0,CODE_OF_CONDUCT.md
catchorg/Catch2,CODE_OF_CONDUCT.md
ajaxorg/ace,CODE_OF_CONDUCT.md
senecajs/seneca,CODE_OF_CONDUCT.md
aces/Loris,CODE_OF_CONDUCT.md
jtsage/jtsage-datebox,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-auth-mechanism-ssl,CODE_OF_CONDUCT.md
jshint/jshint,CODE_OF_CONDUCT.md
jpadilla/pyjwt,CODE_OF_CONDUCT.md
janlelis/wirb,CODE_OF_CONDUCT.md
ghorsey/OpenGraph-Net,CODE_OF_CONDUCT.md
jazzband/django-simple-history,CODE_OF_CONDUCT.md
stlink-org/stlink,CODE_OF_CONDUCT.md
janlelis/unicode-display_width,CODE_OF_CONDUCT.md
forcedotcom/wsc,CODE_OF_CONDUCT.md
sparanoid/sparanoid.com,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-federation,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-recent-history-exchange,CODE_OF_CONDUCT.md
yasslab/whistle,CODE_OF_CONDUCT.md
cakephp/docs,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-auth-backend-amqp,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-metronome,CODE_OF_CONDUCT.md
ufz/ogs,CODE_OF_CONDUCT.md
joecorcoran/judge,CODE_OF_CONDUCT.md
ajaxorg/treehugger,CODE_OF_CONDUCT.md
scala/scala-dist,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-auth-backend-http,CODE_OF_CONDUCT.md
AcademySoftwareFoundation/OpenShadingLanguage,CODE_OF_CONDUCT.md
janlelis/paint,CODE_OF_CONDUCT.md
JarrettBillingsley/Croc,contributor_code_of_conduct.md
tastejs/todomvc,code-of-conduct.md
DiUS/java-faker,CODE_OF_CONDUCT.md
nutzam/nutz,CODE_OF_CONDUCT.md
bkuhlmann/gemsmith,CODE_OF_CONDUCT.adoc
Kegbot/kegbot-server,CODE_OF_CONDUCT.md
fluent/fluentd,code-of-conduct.md
rabbitmq/rabbitmq-management-visualiser,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-shovel-management,CODE_OF_CONDUCT.md
Blosc/c-blosc,code_of_conduct.md
frappe/frappe,CODE_OF_CONDUCT.md
seattlejs/seattlejs,code-of-conduct.md
frappe/erpnext,CODE_OF_CONDUCT.md
handsontable/handsontable,CODE_OF_CONDUCT.md
houseabsolute/List-AllUtils,CODE_OF_CONDUCT.md
houseabsolute/DateTime-Format-Strptime,CODE_OF_CONDUCT.md
gfrenoy/TabT-API,CODE_OF_CONDUCT.md
rbenv/ruby-build,CODE_OF_CONDUCT.md
houseabsolute/DateTime.pm,CODE_OF_CONDUCT.md
bkuhlmann/dotfiles,CODE_OF_CONDUCT.adoc
houseabsolute/DateTime-TimeZone,CODE_OF_CONDUCT.md
houseabsolute/Log-Dispatch,CODE_OF_CONDUCT.md
houseabsolute/Courriel,CODE_OF_CONDUCT.md
haacked/CodeHaacks,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-tracing,CODE_OF_CONDUCT.md
UNIVALI-LITE/Portugol-Studio,CODE_OF_CONDUCT.md
houseabsolute/DateTime-Locale,CODE_OF_CONDUCT.md
csf-dev/ZPT-Sharp,CODE_OF_CONDUCT.md
vorple/vorple,CODE_OF_CONDUCT.md
forcedotcom/SalesforceMobileSDK-iOS,CODE_OF_CONDUCT.md
rapid7/metasploit-framework,CODE_OF_CONDUCT.md
houseabsolute/Markdent,CODE_OF_CONDUCT.md
houseabsolute/Params-Validate,CODE_OF_CONDUCT.md
Kecon/JSocksProxy,CODE_OF_CONDUCT.md
rbenv/rbenv,CODE_OF_CONDUCT.md
lodestone/kindle,CODE_OF_CONDUCT.adoc
indico/indico,CODE_OF_CONDUCT.md
aws/aws-sdk-ruby,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-federation-management,CODE_OF_CONDUCT.md
albertz/CPython,CODE_OF_CONDUCT.rst
rabbitmq/rabbitmq-consistent-hash-exchange,CODE_OF_CONDUCT.md
foundation/foundation-sites,code-of-conduct.md
scala/docs.scala-lang,CODE_OF_CONDUCT.md
joecorcoran/cities,CODE_OF_CONDUCT.md
Commonjava/indy,CODE_OF_CONDUCT.md
miniupnp/miniupnp,CODE_OF_CONDUCT
dispatch/reboot,CODE_OF_CONDUCT.md
unrelentingtech/clj-http-fake,CODE_OF_CONDUCT.md
mailpile/Mailpile,CODE_OF_CONDUCT.md
okfn/licenses,CODE_OF_CONDUCT.md
MvvmCross/MvvmCross,CODE_OF_CONDUCT.md
phalcon/cphalcon,CODE_OF_CONDUCT.md
Scifabric/pybossa,CODE_OF_CONDUCT.md
chocoteam/choco-solver,CODE_OF_CONDUCT.md
forcedotcom/SalesforceMobileSDK-Shared,CODE_OF_CONDUCT.md
haacked/routemagic,CODE_OF_CONDUCT.md
forcedotcom/SalesforceMobileSDK-Android,CODE_OF_CONDUCT.md
mozmeao/lumbergh,CODE_OF_CONDUCT.md
bkuhlmann/alfred,CODE_OF_CONDUCT.adoc
geotools/geotools,CODE_OF_CONDUCT.md
scala/scala,CODE_OF_CONDUCT.md
yetibot/yetibot,CODE_OF_CONDUCT.md
GHamrouni/Recommender,CODE_OF_CONDUCT.md
collectd/collectd,CODE_OF_CONDUCT.md
googleapis/signet,CODE_OF_CONDUCT.md
janlelis/pws,CODE_OF_CONDUCT.md
sass/libsass,CODE_OF_CONDUCT.md
gnuradio/gnuradio,CODE_OF_CONDUCT.md
simple-statistics/simple-statistics,code_of_conduct.md
virtualstaticvoid/heroku-buildpack-r,CODE_OF_CONDUCT.md
rinde/RinSim,CODE_OF_CONDUCT.md
houseabsolute/HTML-Mason,CODE_OF_CONDUCT.md
neo4jrb/neo4j-core,code_of_conduct.md
bkuhlmann/navigator,CODE_OF_CONDUCT.adoc
XAMLMarkupExtensions/XAMLMarkupExtensions,CODE_OF_CONDUCT.md
vorburger/MariaDB4j,CODE_OF_CONDUCT.md
googleapis/google-api-ruby-client,CODE_OF_CONDUCT.md
chef-boneyard/ohai,CODE_OF_CONDUCT.md
chef-boneyard/ubuntu,CODE_OF_CONDUCT.md
chef-boneyard/windows,CODE_OF_CONDUCT.md
mrodalgaard/Personal-Page,CODE_OF_CONDUCT.md
sass/sass-site,CODE_OF_CONDUCT.md
snd/url-pattern,CODE_OF_CONDUCT.md
haacked/seegit,CODE_OF_CONDUCT.md
nolimits4web/swiper,CODE_OF_CONDUCT.md
bkuhlmann/pennyworth,CODE_OF_CONDUCT.adoc
AcademySoftwareFoundation/openexr,CODE_OF_CONDUCT.md
notepadqq/notepadqq,CODE_OF_CONDUCT.md
c9/architect,CODE_OF_CONDUCT.md
CppMicroServices/CppMicroServices,CODE_OF_CONDUCT.rst
balderdashy/sails,CODE-OF-CONDUCT.md
github-tools/github,CODE_OF_CONDUCT.md
base62/base62.js,CODE_OF_CONDUCT.md
borkweb/BootstrapMediaWiki,CODE_OF_CONDUCT.md
chef-boneyard/heartbeat,CODE_OF_CONDUCT.md
cfengine/core,CODE_OF_CONDUCT.md
kra3/py-ga-mob,CODE_OF_CONDUCT.md
KhronosGroup/OpenCOLLADA,CODE_OF_CONDUCT.md
UNU-Macau/kendrick,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-web-stomp-examples,CODE_OF_CONDUCT.md
scala/scala-lang,CODE_OF_CONDUCT.md
bkuhlmann/ubuntu,CODE_OF_CONDUCT.adoc
dedupeio/dedupe,CODE_OF_CONDUCT.md
PastVu/pastvu,CODE_OF_CONDUCT.md
jrnl-org/jrnl,CODE_OF_CONDUCT.md
ycm-core/YouCompleteMe,CODE_OF_CONDUCT.md
maghead/maghead,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-web-stomp,CODE_OF_CONDUCT.md
basho-labs/the-basho-community,code-of-conduct.md
snd/passage,CODE_OF_CONDUCT.md
mozmeao/snippets,CODE_OF_CONDUCT.md
gkossakowski/gkossakowski.github.io,CODE_OF_CONDUCT.md
sass/node-sass,CODE_OF_CONDUCT.md
getnikola/nikola,CODE_OF_CONDUCT.md
ajaxorg/ace-builds,CODE_OF_CONDUCT.md
sass/sassc,CODE_OF_CONDUCT.md
KhronosGroup/COLLADA-CTS,CODE_OF_CONDUCT.md
houseabsolute/perl-code-tidyall,CODE_OF_CONDUCT.md
rpkamp/chrome-minimal-bookmarks-tree,CODE_OF_CONDUCT.md
compiler-explorer/compiler-explorer,CODE_OF_CONDUCT.md
donkirkby/live-py-plugin,CODE_OF_CONDUCT.md
defold/defold,CODE_OF_CONDUCT.md
zsh-users/antigen,CODE_OF_CONDUCT.md
supercollider/supercollider,CODE_OF_CONDUCT.md
svanacker/cen-electronic,CODE_OF_CONDUCT.md
pauljeanquart/Test,CODE_OF_CONDUCT.md
keeps/roda,CODE_OF_CONDUCT.md
fish-shell/fish-shell,CODE_OF_CONDUCT.md
GNOME/librsvg,code-of-conduct.md
forcedotcom/SalesforceCanvasFrameworkSDK,CODE_OF_CONDUCT.md
bkuhlmann/prawn_plus,CODE_OF_CONDUCT.adoc
neinteractiveliterature/intercode,CODE_OF_CONDUCT.md
haacked/Rothko,CODE_OF_CONDUCT.md
apache/dubbo,CODE_OF_CONDUCT.md
jotson/SublimePHPIntel,CODE_OF_CONDUCT.md
jiffyclub/snakeviz,CODE_OF_CONDUCT.md
Pash-Project/Pash,CODE_OF_CONDUCT.md
chef-boneyard/knife-opc,CODE_OF_CONDUCT.md
macbre/nodemw,CODE_OF_CONDUCT.md
outr/youi,CODE_OF_CONDUCT.md
wq/wq.db,CODE_OF_CONDUCT.md
eccentricdevotion/TARDIS,CODE_OF_CONDUCT.md
kmaehashi/sandbox,CODE_OF_CONDUCT.md
chef-boneyard/knife-push,CODE_OF_CONDUCT.md
KhronosGroup/WebGL,CODE_OF_CONDUCT.md
eea/geonetwork-eea,CODE_OF_CONDUCT.md
xamarin/apple-api-docs,CODE_OF_CONDUCT.md
archivesspace/archivesspace,CODE_OF_CONDUCT.md
jiffyclub/palettable,CODE_OF_CONDUCT.md
OfflineIMAP/offlineimap,CODE_OF_CONDUCT.md
jaredonline/google-authenticator,CODE_OF_CONDUCT.md
quilljs/quill,CODE_OF_CONDUCT.md
halide/Halide,CODE_OF_CONDUCT.md
django-wiki/django-wiki,CODE_OF_CONDUCT.md
ronisaha/wdCalendar,CODE_OF_CONDUCT.md
wq/itertable,CODE_OF_CONDUCT.md
wq/wq.app,CODE_OF_CONDUCT.md
svalinn/DAGMC,CODE_OF_CONDUCT.md
wq/wq,CODE_OF_CONDUCT.md
restforce/restforce,CODE_OF_CONDUCT.md
yasslab/weekly_report_bot,CODE_OF_CONDUCT.md
rouge-ruby/rouge,CODE_OF_CONDUCT.md
monsti/monsti,CODE_OF_CONDUCT.md
sass/libsass-python,CODE_OF_CONDUCT.md
KhronosGroup/siggraph2012course,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-mqtt,CODE_OF_CONDUCT.md
yasslab/weekend_fabrication,CODE_OF_CONDUCT.md
unrelentingtech/httpotion,CODE_OF_CONDUCT.md
quaderno/quaderno-api,CODE_OF_CONDUCT.md
jscep/jscep,CODE_OF_CONDUCT.md
KhronosGroup/WebGLPerf,CODE_OF_CONDUCT.md
MASD-Project/dogen,CODE_OF_CONDUCT.md
edenhill/librdkafka,CODE_OF_CONDUCT.md
CleverRaven/Cataclysm-DDA,CODE_OF_CONDUCT.md
mozilla-it/puppetctl,CODE_OF_CONDUCT.md
gjerokrsteski/pimf-framework,CODE_OF_CONDUCT.md
albandes/helpdezk,CODE_OF_CONDUCT.md
yasslab/weekly_report_helper,CODE_OF_CONDUCT.md
aws/aws-sdk-php,CODE_OF_CONDUCT.md
senecajs/seneca-user,CODE_OF_CONDUCT.md
tansengming/stripe-rails,CODE_OF_CONDUCT.md
jump-dev/JuMP.jl,CODE_OF_CONDUCT.md
OSGeo/gdal,CODE_OF_CONDUCT.md
yasslab/weekly_report_sender,CODE_OF_CONDUCT.md
oupala/apaxy,CODE_OF_CONDUCT.md
rethinkdb/rethinkdb,CODE_OF_CONDUCT.md
janlelis/value_struct,CODE_OF_CONDUCT.md
aws/aws-sdk-php-zf2,CODE_OF_CONDUCT.md
crystal-lang/crystal,CODE_OF_CONDUCT.md
lynckia/licode,CODE_OF_CONDUCT.md
mgechev/javascript-algorithms,CODE_OF_CONDUCT.md
scala/make-release-notes,CODE_OF_CONDUCT.md
r-lib/svglite,CODE_OF_CONDUCT.md
OliverLeitner/webstreamer,CODE_OF_CONDUCT.md
dejan/rails_panel,CODE_OF_CONDUCT.md
zolyfarkas/spf4j,CODE_OF_CONDUCT.md
aws-samples/opsworks-example-cookbooks,CODE_OF_CONDUCT.md
aws-samples/java-meme-generator-sample,CODE_OF_CONDUCT.md
LeezQ/leezq.github.com,code-of-conduct.md
Zeke-OS/zeke,CODE_OF_CONDUCT.md
houseabsolute/test-class-moose,CODE_OF_CONDUCT.md
livingstyleguide/livingstyleguide,CODE-OF-CONDUCT.md
RoboticCheese/clamav-chef,CODE_OF_CONDUCT.md
Matroska-Org/libmatroska,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-test,CODE_OF_CONDUCT.md
Matroska-Org/foundation-source,CODE_OF_CONDUCT.md
jiffyclub/ipythonblocks,CODE_OF_CONDUCT.md
cscorley/whatthepatch,CODE_OF_CONDUCT.md
Matroska-Org/libebml,CODE_OF_CONDUCT.md
jschaves/je5,CODE_OF_CONDUCT.md
aws/aws-sdk-php-silex,CODE_OF_CONDUCT.md
dstpierre/parle,CODE_OF_CONDUCT.md
sipwise/kamailio,CODE_OF_CONDUCT.md
test-kitchen/kitchen-vagrant,CODE_OF_CONDUCT.md
VLCTechHub/VLCTechHub-site,CODE_OF_CONDUCT.md
test-kitchen/kitchen-ec2,CODE_OF_CONDUCT.md
thebachchaoproject/bachchao-qtapp,CODE_OF_CONDUCT.md
KhronosGroup/glTF,CODE_OF_CONDUCT.md
idno/known,CODE_OF_CONDUCT.md
zkat/genfun,CODE_OF_CONDUCT.md
serilog/serilog,CODE_OF_CONDUCT.md
ImageOptim/ImageOptim,CODE_OF_CONDUCT.md
timofurrer/observable,CODE_OF_CONDUCT.md
mjaschen/phpgeo,CODE_OF_CONDUCT.md
minnestar/sessionizer,CODE_OF_CONDUCT.md
aws-samples/opsworks-demo-php-simple-app,CODE_OF_CONDUCT.md
aws/aws-sdk-php-laravel,CODE_OF_CONDUCT.md
vatesfr/xen-orchestra,CODE_OF_CONDUCT.md
rabbitmq/rabbitmq-web-dispatch,CODE_OF_CONDUCT.md
apostrophecms/apostrophe,CODE_OF_CONDUCT.md
aws-samples/opsworks-demo-php-photo-share-app,CODE_OF_CONDUCT.md
forcedotcom/SalesforceCanvasJavascriptSDK,CODE_OF_CONDUCT.md
adamcaudill/yawast,CODE_OF_CONDUCT.md
openzfsonosx/zfs,CODE_OF_CONDUCT.md
chef-boneyard/push-jobs-cookbook,CODE_OF_CONDUCT.md
mjacobus/.dotfiles,CODE_OF_CONDUCT.md
googleapis/google-api-nodejs-client,CODE_OF_CONDUCT.md
scala/scala-async,CODE_OF_CONDUCT.md
HypothesisWorks/hypothesis,CODE_OF_CONDUCT.rst
ibissource/iaf,CODE_OF_CONDUCT.md
skylot/jadx,CODE_OF_CONDUCT.md
cleanflight/cleanflight,CODE_OF_CONDUCT.md
modoboa/modoboa,CODE_OF_CONDUCT.md
homenc/HElib,CODE_OF_CONDUCT.md
mwolff44/pyfreebilling,CODE_OF_CONDUCT.md
estum/growlyflash,CODE_OF_CONDUCT.md
PartTimeLegend/Publish-PGP-Keys,code_of_conduct.md
AcademySoftwareFoundation/openvdb,CODE_OF_CONDUCT.md
xenon-middleware/xenon,CODE_OF_CONDUCT.md
